,city,datetime,temp,temp_min,temp_max,humidity
0,london,2023-12-08 15:00:00+00:00,283.6,282.77,283.6,84
1,london,2023-12-08 18:00:00+00:00,282.55,281.81,282.55,84
2,london,2023-12-08 21:00:00+00:00,281.6,281.6,281.6,81
3,london,2023-12-09 00:00:00+00:00,281.55,281.55,281.55,84
4,london,2023-12-09 03:00:00+00:00,281.27,281.27,281.27,89
5,london,2023-12-09 06:00:00+00:00,282.19,282.19,282.19,94
6,london,2023-12-09 09:00:00+00:00,282.33,282.33,282.33,93
7,london,2023-12-09 12:00:00+00:00,285.55,285.55,285.55,94
8,london,2023-12-09 15:00:00+00:00,284.72,284.72,284.72,75
9,london,2023-12-09 18:00:00+00:00,282.47,282.47,282.47,70
10,london,2023-12-09 21:00:00+00:00,281.95,281.95,281.95,66
11,london,2023-12-10 00:00:00+00:00,281.46,281.46,281.46,65
12,london,2023-12-10 03:00:00+00:00,281.15,281.15,281.15,70
13,london,2023-12-10 06:00:00+00:00,281.09,281.09,281.09,79
14,london,2023-12-10 09:00:00+00:00,281.28,281.28,281.28,84
15,london,2023-12-10 12:00:00+00:00,282.92,282.92,282.92,84
16,london,2023-12-10 15:00:00+00:00,283.12,283.12,283.12,92
17,london,2023-12-10 18:00:00+00:00,284.3,284.3,284.3,88
18,london,2023-12-10 21:00:00+00:00,282.72,282.72,282.72,84
19,london,2023-12-11 00:00:00+00:00,281.84,281.84,281.84,86
20,london,2023-12-11 03:00:00+00:00,282.36,282.36,282.36,82
21,london,2023-12-11 06:00:00+00:00,283.47,283.47,283.47,74
22,london,2023-12-11 09:00:00+00:00,283.51,283.51,283.51,78
23,london,2023-12-11 12:00:00+00:00,283.72,283.72,283.72,80
24,london,2023-12-11 15:00:00+00:00,284.23,284.23,284.23,80
25,london,2023-12-11 18:00:00+00:00,282.37,282.37,282.37,93
26,london,2023-12-11 21:00:00+00:00,281.56,281.56,281.56,96
27,london,2023-12-12 00:00:00+00:00,281.29,281.29,281.29,96
28,london,2023-12-12 03:00:00+00:00,281.3,281.3,281.3,97
29,london,2023-12-12 06:00:00+00:00,282.1,282.1,282.1,98
30,london,2023-12-12 09:00:00+00:00,282.86,282.86,282.86,92
31,london,2023-12-12 12:00:00+00:00,284.49,284.49,284.49,85
32,london,2023-12-12 15:00:00+00:00,284.14,284.14,284.14,90
33,london,2023-12-12 18:00:00+00:00,282.51,282.51,282.51,91
34,london,2023-12-12 21:00:00+00:00,281.27,281.27,281.27,96
35,london,2023-12-13 00:00:00+00:00,280.59,280.59,280.59,96
36,london,2023-12-13 03:00:00+00:00,280.13,280.13,280.13,96
37,london,2023-12-13 06:00:00+00:00,279.97,279.97,279.97,96
38,london,2023-12-13 09:00:00+00:00,280.44,280.44,280.44,91
39,london,2023-12-13 12:00:00+00:00,281.94,281.94,281.94,84
40,liverpool,2023-12-08 15:00:00+00:00,281.81,281.81,282.11,90
41,liverpool,2023-12-08 18:00:00+00:00,281.95,281.95,282.09,84
42,liverpool,2023-12-08 21:00:00+00:00,281.93,281.93,281.93,83
43,liverpool,2023-12-09 00:00:00+00:00,282.37,282.37,282.37,80
44,liverpool,2023-12-09 03:00:00+00:00,281.49,281.49,281.49,84
45,liverpool,2023-12-09 06:00:00+00:00,281.06,281.06,281.06,93
46,liverpool,2023-12-09 09:00:00+00:00,281.55,281.55,281.55,95
47,liverpool,2023-12-09 12:00:00+00:00,284.48,284.48,284.48,86
48,liverpool,2023-12-09 15:00:00+00:00,282.7,282.7,282.7,73
49,liverpool,2023-12-09 18:00:00+00:00,281.99,281.99,281.99,73
50,liverpool,2023-12-09 21:00:00+00:00,281.45,281.45,281.45,85
51,liverpool,2023-12-10 00:00:00+00:00,281.69,281.69,281.69,75
52,liverpool,2023-12-10 03:00:00+00:00,281.36,281.36,281.36,76
53,liverpool,2023-12-10 06:00:00+00:00,280.81,280.81,280.81,82
54,liverpool,2023-12-10 09:00:00+00:00,280.17,280.17,280.17,84
55,liverpool,2023-12-10 12:00:00+00:00,280.43,280.43,280.43,93
56,liverpool,2023-12-10 15:00:00+00:00,280.39,280.39,280.39,91
57,liverpool,2023-12-10 18:00:00+00:00,280.65,280.65,280.65,93
58,liverpool,2023-12-10 21:00:00+00:00,281.36,281.36,281.36,86
59,liverpool,2023-12-11 00:00:00+00:00,283.16,283.16,283.16,79
60,liverpool,2023-12-11 03:00:00+00:00,282.91,282.91,282.91,75
61,liverpool,2023-12-11 06:00:00+00:00,282.95,282.95,282.95,79
62,liverpool,2023-12-11 09:00:00+00:00,282.89,282.89,282.89,81
63,liverpool,2023-12-11 12:00:00+00:00,283.01,283.01,283.01,81
64,liverpool,2023-12-11 15:00:00+00:00,282.32,282.32,282.32,76
65,liverpool,2023-12-11 18:00:00+00:00,280.69,280.69,280.69,81
66,liverpool,2023-12-11 21:00:00+00:00,280.83,280.83,280.83,85
67,liverpool,2023-12-12 00:00:00+00:00,281.12,281.12,281.12,92
68,liverpool,2023-12-12 03:00:00+00:00,281.27,281.27,281.27,95
69,liverpool,2023-12-12 06:00:00+00:00,281.65,281.65,281.65,95
70,liverpool,2023-12-12 09:00:00+00:00,281.99,281.99,281.99,95
71,liverpool,2023-12-12 12:00:00+00:00,282.29,282.29,282.29,96
72,liverpool,2023-12-12 15:00:00+00:00,282.67,282.67,282.67,91
73,liverpool,2023-12-12 18:00:00+00:00,280.99,280.99,280.99,92
74,liverpool,2023-12-12 21:00:00+00:00,281.21,281.21,281.21,91
75,liverpool,2023-12-13 00:00:00+00:00,280.55,280.55,280.55,91
76,liverpool,2023-12-13 03:00:00+00:00,279.98,279.98,279.98,94
77,liverpool,2023-12-13 06:00:00+00:00,280.05,280.05,280.05,91
78,liverpool,2023-12-13 09:00:00+00:00,279.23,279.23,279.23,92
79,liverpool,2023-12-13 12:00:00+00:00,281.94,281.94,281.94,82
80,bath,2023-12-08 15:00:00+00:00,282.18,281.25,282.18,86
81,bath,2023-12-08 18:00:00+00:00,280.71,279.74,280.71,90
82,bath,2023-12-08 21:00:00+00:00,279.46,279.46,279.46,90
83,bath,2023-12-09 00:00:00+00:00,278.99,278.99,278.99,93
84,bath,2023-12-09 03:00:00+00:00,281.04,281.04,281.04,95
85,bath,2023-12-09 06:00:00+00:00,282.17,282.17,282.17,96
86,bath,2023-12-09 09:00:00+00:00,284.75,284.75,284.75,97
87,bath,2023-12-09 12:00:00+00:00,283.94,283.94,283.94,88
88,bath,2023-12-09 15:00:00+00:00,281.46,281.46,281.46,80
89,bath,2023-12-09 18:00:00+00:00,280.92,280.92,280.92,79
90,bath,2023-12-09 21:00:00+00:00,280.31,280.31,280.31,76
91,bath,2023-12-10 00:00:00+00:00,280.28,280.28,280.28,78
92,bath,2023-12-10 03:00:00+00:00,280.55,280.55,280.55,84
93,bath,2023-12-10 06:00:00+00:00,280.75,280.75,280.75,87
94,bath,2023-12-10 09:00:00+00:00,279.62,279.62,279.62,94
95,bath,2023-12-10 12:00:00+00:00,282.32,282.32,282.32,92
96,bath,2023-12-10 15:00:00+00:00,284.54,284.54,284.54,87
97,bath,2023-12-10 18:00:00+00:00,282.15,282.15,282.15,88
98,bath,2023-12-10 21:00:00+00:00,280.91,280.91,280.91,90
99,bath,2023-12-11 00:00:00+00:00,281.51,281.51,281.51,90
100,bath,2023-12-11 03:00:00+00:00,281.94,281.94,281.94,86
101,bath,2023-12-11 06:00:00+00:00,282.38,282.38,282.38,86
102,bath,2023-12-11 09:00:00+00:00,282.25,282.25,282.25,89
103,bath,2023-12-11 12:00:00+00:00,283.44,283.44,283.44,88
104,bath,2023-12-11 15:00:00+00:00,282.98,282.98,282.98,90
105,bath,2023-12-11 18:00:00+00:00,280.64,280.64,280.64,96
106,bath,2023-12-11 21:00:00+00:00,280.38,280.38,280.38,96
107,bath,2023-12-12 00:00:00+00:00,280.48,280.48,280.48,97
108,bath,2023-12-12 03:00:00+00:00,280.58,280.58,280.58,98
109,bath,2023-12-12 06:00:00+00:00,280.83,280.83,280.83,98
110,bath,2023-12-12 09:00:00+00:00,282.06,282.06,282.06,96
111,bath,2023-12-12 12:00:00+00:00,283.94,283.94,283.94,87
112,bath,2023-12-12 15:00:00+00:00,282.43,282.43,282.43,88
113,bath,2023-12-12 18:00:00+00:00,280.19,280.19,280.19,95
114,bath,2023-12-12 21:00:00+00:00,279.35,279.35,279.35,96
115,bath,2023-12-13 00:00:00+00:00,278.55,278.55,278.55,97
116,bath,2023-12-13 03:00:00+00:00,278.32,278.32,278.32,97
117,bath,2023-12-13 06:00:00+00:00,278.1,278.1,278.1,96
118,bath,2023-12-13 09:00:00+00:00,278.45,278.45,278.45,95
119,bath,2023-12-13 12:00:00+00:00,279.34,279.34,279.34,94
